,0,class_label,target_label
577,0.79,0,1
578,0.877,0,1
579,0.816,0,1
580,0.691,0,1
581,0.757,0,1
582,0.728,0,1
583,0.615,0,1
584,0.26,0,1
585,0.564,0,1
586,0.467,0,1
587,0.857,0,1
588,0.275,0,1
589,0.657,0,1
590,0.87,0,1
591,0.679,0,1
592,0.331,0,1
593,0.825,0,1
594,0.3,0,1
595,0.846,0,1
596,0.612,0,1
597,0.739,0,1
598,0.873,0,1
599,0.696,0,1
600,0.836,0,1
601,0.483,0,1
602,0.702,0,1
603,0.567,0,1
604,0.774,0,1
605,0.584,0,1
606,0.731,0,1
607,0.762,0,1
608,0.6,0,1
609,0.723,0,1
610,0.405,0,1
611,0.339,0,1
612,0.606,0,1
613,0.416,0,1
614,0.618,0,1
615,0.812,0,1
616,0.76,0,1
617,0.573,0,1
618,0.384,0,1
619,0.683,0,1
620,0.798,0,1
621,0.863,0,1
622,0.785,0,1
623,0.869,0,1
624,0.306,0,1
625,0.57,0,1
626,0.421,0,1
627,0.691,0,1
628,0.737,0,1
629,0.752,0,1
630,0.602,0,1
631,0.587,0,1
632,0.842,0,1
633,0.53,0,1
634,0.732,0,1
635,0.819,0,1
636,0.657,0,1
637,0.684,0,1
638,0.559,0,1
639,0.654,0,1
640,0.659,0,1
641,0.357,0,1
642,0.491,0,1
643,0.069,0,1
644,0.762,0,1
645,0.936,0,1
646,0.87,0,1
647,0.903,0,1
648,0.461,0,1
649,0.293,0,1
650,0.957,0,1
651,0.813,0,1
652,0.728,0,1
653,0.852,0,1
654,0.845,0,1
655,0.686,0,1
656,0.455,0,1
657,0.903,0,1
658,0.72,0,1
659,0.846,0,1
660,0.937,0,1
661,0.792,0,1
662,0.566,0,1
663,0.547,0,1
664,0.749,0,1
665,0.796,0,1
666,0.67,0,1
667,0.86,0,1
668,0.681,0,1
669,0.869,0,1
670,0.725,0,1
671,0.624,0,1
672,0.363,0,1
673,0.795,0,1
674,0.826,0,1
675,0.51,0,1
676,0.616,0,1
677,0.647,0,1
678,0.12,0,1
679,0.714,0,1
680,0.837,0,1
681,0.823,0,1
682,0.737,0,1
683,0.764,0,1
684,0.916,0,1
685,0.518,0,1
686,0.749,0,1
687,0.689,0,1
688,0.762,0,1
689,0.647,0,1
690,0.466,0,1
691,0.784,0,1
692,0.434,0,1
693,0.879,0,1
694,0.913,0,1
695,0.841,0,1
696,0.603,0,1
697,0.682,0,1
698,0.475,0,1
699,0.621,0,1
700,0.566,0,1
701,0.887,0,1
702,0.618,0,1
703,0.802,0,1
704,0.776,0,1
705,0.701,0,1
706,0.84,0,1
707,0.735,0,1
708,0.887,0,1
709,0.753,0,1
710,0.49,0,1
711,0.73,0,1
712,0.831,0,1
713,0.836,0,1
714,0.65,0,1
715,0.62,0,1
716,0.931,0,1
717,0.751,0,1
718,0.212,0,1
719,0.398,0,1
720,0.237,0,1
721,0.91,0,1
722,0.878,0,1
723,0.639,0,1
724,0.612,0,1
725,0.804,0,1
726,0.763,0,1
727,0.821,0,1
728,0.786,0,1
729,0.768,0,1
730,0.764,0,1
731,0.824,0,1
732,0.484,0,1
733,0.899,0,1
734,0.9,0,1
735,0.747,0,1
736,0.829,0,1
737,0.65,0,1
738,0.762,0,1
739,0.551,0,1
740,0.784,0,1
741,0.8,0,1
742,0.932,0,1
743,0.982,0,1
744,0.513,0,1
745,0.3,0,1
746,0.255,0,1
747,0.834,0,1
748,0.873,0,1
749,0.551,0,1
750,0.494,0,1
751,0.772,0,1
752,0.691,0,1
753,0.948,0,1
754,0.854,0,1
755,0.821,0,1
756,0.853,0,1
757,0.928,0,1
758,0.894,0,1
759,0.701,0,1
760,0.953,0,1
761,0.877,0,1
762,0.764,0,1
763,0.576,0,1
764,0.561,0,1
765,0.839,0,1
766,0.539,0,1
767,0.721,0,1
